82,2300,4,4,Furnished,"Mohinder flats, Dwarka",1,31500000,Ready_to_move,Resale,flat
83,1560,3,2,Furnished,"Ashoka flats, Dwarka Sector 12",2,15800000,Ready_to_move,Resale,flat
84,1500,3,3,Semi-Furnished,"Karuna Vihar flat, Dwarka",2,16000000,Ready_to_move,Resale,flat
85,1540,3,3,Semi-Furnished,"Nav Kairali flat, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,flat
86,1050,2,2,Unfurnished,"LNT flats, Dwarka",1,10500000,Ready_to_move,Resale,flat
87,1800,3,2,Semi-Furnished,Dwarka Sector 4,1,14800000,Ready_to_move,Resale,flat
88,400,1,1,Semi-Furnished,"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",1,1850000,Ready_to_move,New_Property,house
89,1150,3,2,Semi-Furnished,Dwarka Sector 16B,1,6800000,Ready_to_move,New_Property,house
90,1525,3,3,Semi-Furnished,"Chopra flat, Dwarka Sector 23",1,14200000,Ready_to_move,Resale,flat
91,900,1,1,Semi-Furnished,Lajpat Nagar 3,,8900000,Ready_to_move,Resale,house
92,1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,37500000,Ready_to_move,New_Property,house
93,1450,3,3,Semi-Furnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,house
94,1260,3,3,Semi-Furnished,Lajpat Nagar 3,2,21000000,Ready_to_move,Resale,house
95,2925,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,house
96,1710,3,3,Semi-Furnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,house
97,1600,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,New_Property,house
98,1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,house
99,2200,3,3,Unfurnished,Lajpat Nagar 3,1,30000000,Ready_to_move,Resale,house
100,1350,3,3,Unfurnished,Lajpat Nagar 3,1,41500000,Ready_to_move,New_Property,house
101,1710,3,3,Semi-Furnished,Lajpat Nagar 3,1,24800000,Ready_to_move,Resale,house
102,1350,3,3,Semi-Furnished,Lajpat Nagar 3,2,35000000,Ready_to_move,Resale,house
103,1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,40000000,Ready_to_move,Resale,house
104,2880,4,5,Unfurnished,Lajpat Nagar 3,1,46000000,Ready_to_move,New_Property,house
105,2700,4,4,Semi-Furnished,Lajpat Nagar 3,2,55000000,Ready_to_move,Resale,house
106,1400,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,house
107,1800,3,3,Unfurnished,Lajpat Nagar 3,1,24500000,Ready_to_move,Resale,flat
108,1400,3,3,Semi-Furnished,Lajpat Nagar 3,1,32500000,Ready_to_move,New_Property,house
109,1000,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,flat
110,8000,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,house
111,1000,2,2,Furnished,Lajpat Nagar 3,1,20000000,Ready_to_move,Resale,flat
112,1700,3,3,Furnished,Lajpat Nagar 3,2,19000000,Ready_to_move,Resale,house
113,1600,3,3,Unfurnished,Lajpat Nagar 3,2,26000000,Ready_to_move,Resale,house
114,1350,3,3,Unfurnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,house
115,1700,3,3,Semi-Furnished,Lajpat Nagar 3,1,27500000,Ready_to_move,Resale,house
116,1400,3,3,Semi-Furnished,Lajpat Nagar 3,2,32500000,Ready_to_move,New_Property,house
117,1450,3,3,Semi-Furnished,Lajpat Nagar 3,1,45000000,Ready_to_move,New_Property,house
118,1350,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,house
119,1700,3,3,Unfurnished,Lajpat Nagar 3,1,28000000,Ready_to_move,Resale,house
120,1600,3,3,Unfurnished,Lajpat Nagar 3,2,29500000,Ready_to_move,Resale,house
121,1500,1,,Unfurnished,Lajpat Nagar 2,,13500000,Ready_to_move,Resale,flat
122,800,2,2,Unfurnished,Lajpat Nagar 2,1,14000000,Ready_to_move,New_Property,house
123,1710,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,house
124,1350,2,2,Furnished,Lajpat Nagar 2,4,12500000,Ready_to_move,Resale,house
125,1500,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,house
126,750,2,2,Semi-Furnished,"Vinoba Puri, Lajpat Nagar",2,11500000,Ready_to_move,New_Property,house
127,850,2,2,Semi-Furnished,Lajpat Nagar 2,2,14600000,Ready_to_move,Resale,house
128,1575,3,3,Semi-Furnished,Lajpat Nagar 2,1,25500000,Ready_to_move,New_Property,house
129,1675,3,3,Semi-Furnished,Lajpat Nagar 2,2,31000000,Ready_to_move,New_Property,house
130,1350,3,3,Semi-Furnished,Lajpat Nagar 2,2,22000000,Ready_to_move,Resale,house
131,900,2,2,Semi-Furnished,Lajpat Nagar 2,2,13400000,Ready_to_move,New_Property,house
132,1800,3,3,Semi-Furnished,Lajpat Nagar 2,2,35000000,Almost_ready,New_Property,house
133,900,2,2,Furnished,Lajpat Nagar 2,2,11000000,Ready_to_move,Resale,house
134,900,2,2,Unfurnished,"Vinoba Puri, Lajpat Nagar",2,6300000,Ready_to_move,Resale,house
135,900,2,2,Furnished,Lajpat Nagar 2,2,12500000,Ready_to_move,Resale,house
136,800,2,2,Unfurnished,Lajpat Nagar 2,1,14500000,Ready_to_move,New_Property,house
137,1100,2,3,Semi-Furnished,Lajpat Nagar 2,1,22500000,Ready_to_move,New_Property,house
138,810,2,2,Semi-Furnished,Lajpat Nagar 2,1,15500000,Ready_to_move,New_Property,house
139,1500,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,house
140,900,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,house
141,825,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,house
142,900,2,2,Unfurnished,Lajpat Nagar 2,1,13000000,Ready_to_move,New_Property,house
143,875,2,2,Unfurnished,Lajpat Nagar 2,1,15000000,Ready_to_move,New_Property,house
144,1350,3,3,Semi-Furnished,Lajpat Nagar 2,1,25000000,Ready_to_move,New_Property,house
145,750,2,2,Semi-Furnished,Lajpat Nagar 2,1,16500000,Ready_to_move,New_Property,house
146,900,2,2,Unfurnished,Lajpat Nagar 2,1,10300000,Ready_to_move,New_Property,house
147,1350,3,3,Semi-Furnished,Lajpat Nagar 2,1,26000000,Ready_to_move,New_Property,house
148,900,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,house
149,1800,3,3,Unfurnished,Lajpat Nagar 2,1,28500000,Ready_to_move,New_Property,house
150,900,2,2,Unfurnished,Lajpat Nagar 2,1,11000000,Ready_to_move,Resale,house
151,900,2,1,Furnished,Budh Vihar,1,11000000,Ready_to_move,Resale,flat
152,810,3,2,Semi-Furnished,Budh Vihar,1,4500000,Ready_to_move,Resale,house
153,450,2,1,Unfurnished,"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",1,3600000,Ready_to_move,Resale,house
154,100,3,2,Furnished,Budh Vihar Phase 1,1,4300000,Ready_to_move,New_Property,house
155,900,3,2,Semi-Furnished,Budh Vihar,1,4000000,Ready_to_move,Resale,house
156,500,2,2,Semi-Furnished,Budh Vihar Phase 1,1,1650000,Ready_to_move,Resale,flat
157,450,1,1,Furnished,Budh Vihar,1,2000000,Ready_to_move,Resale,house
158,75,2,2,Semi-Furnished,Budh Vihar,1,3000000,Ready_to_move,Resale,house
159,270,2,1,Semi-Furnished,Budh Vihar Phase 1,1,1400000,Ready_to_move,Resale,flat
160,500,2,1,Semi-Furnished,Budh Vihar Phase 1,1,2000000,Ready_to_move,Resale,house
161,444,2,2,Unfurnished,Budh Vihar Phase 1,1,2000000,Ready_to_move,Resale,flat
162,400,1,1,Furnished,Budh Vihar,1,2000000,Ready_to_move,Resale,house
163,729,3,4,Furnished,Budh Vihar,1,2600000,Ready_to_move,Resale,house
164,4050,6,3,Furnished,Budh Vihar Phase 1,1,5100000,Ready_to_move,Resale,house
165,2400,6,4,Furnished,Budh Vihar Phase 2,1,6000000,Ready_to_move,Resale,house
166,450,2,2,Furnished,Budh Vihar,1,4000000,Ready_to_move,Resale,house
167,405,2,3,Furnished,Budh Vihar Phase 2,1,6200000,Ready_to_move,Resale,house
168,666,1,2,Furnished,Budh Vihar Phase 1,1,3500000,Ready_to_move,Resale,house
169,1000,2,2,Semi-Furnished,"Saptrishi flat, Rohini Sector 23",1,7600000,Ready_to_move,Resale,flat
170,1360,4,3,Semi-Furnished,Rohini Sector 24,1,13500000,Ready_to_move,New_Property,house
171,1550,4,3,Semi-Furnished,Rohini Sector 24,1,12500000,Ready_to_move,New_Property,house
172,850,3,2,Semi-Furnished,Rohini Sector 23,1,6500000,Ready_to_move,New_Property,house
173,2170,4,4,Unfurnished,Rohini Sector 23,2,22000000,Ready_to_move,New_Property,house
174,720,3,2,Semi-Furnished,Rohini Sector 23,1,6000000,Ready_to_move,New_Property,house
175,850,3,2,Semi-Furnished,Rohini Sector 23,1,7300000,Ready_to_move,New_Property,house
176,950,3,2,Semi-Furnished,Rohini Sector 23,1,7600000,Ready_to_move,New_Property,house
177,2300,4,4,Semi-Furnished,Rohini Sector 23,1,20000000,Ready_to_move,New_Property,house
178,1300,4,4,Semi-Furnished,Rohini Sector 22,1,15000000,Ready_to_move,New_Property,house
179,1100,3,2,Semi-Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,house
180,1030,3,2,Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,house
181,350,1,1,Semi-Furnished,"Rohini ( 1 km from Shahbad Dairy, Rohini)",1,2300000,Ready_to_move,New_Property,house
182,750,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,flat
183,720,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,4700000,Ready_to_move,New_Property,flat
184,800,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5500000,Ready_to_move,New_Property,flat
185,350,1,1,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,2000000,Ready_to_move,New_Property,flat
186,980,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,7300000,Ready_to_move,New_Property,flat
187,1600,4,3,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,13000000,Ready_to_move,New_Property,flat
188,1450,3,3,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,11500000,Ready_to_move,New_Property,flat
189,445,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,2800000,Ready_to_move,New_Property,flat
190,380,1,1,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,2200000,Ready_to_move,New_Property,flat
191,680,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,4400000,Ready_to_move,New_Property,flat
192,1600,3,3,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,13500000,Ready_to_move,New_Property,flat
193,630,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,4100000,Ready_to_move,New_Property,flat
194,1500,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,12000000,Ready_to_move,New_Property,flat
195,550,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,3500000,Ready_to_move,New_Property,flat
196,2500,4,3,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,15000000,Ready_to_move,New_Property,flat
197,2800,5,4,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,17500000,Ready_to_move,New_Property,flat
198,300,1,1,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,1900000,Ready_to_move,New_Property,flat
199,800,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5500000,Ready_to_move,New_Property,flat
200,1295,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,10000000,Ready_to_move,New_Property,flat
201,700,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,4700000,Ready_to_move,New_Property,flat
202,350,1,1,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,2400000,Ready_to_move,New_Property,house
203,450,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,3800000,Ready_to_move,New_Property,house
204,2200,4,4,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,23000000,Ready_to_move,New_Property,house
205,2300,4,4,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,24500000,Ready_to_move,New_Property,house
206,1150,3,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,10000000,Ready_to_move,New_Property,house
